Ticker,Live_Price,Action_Rank,Action_Status,Long_Term_Status,Entry_Timing_Status,Classification_Reason,Market_State,Regular_Market_Price,PreMarket_Price,PostMarket_Price,Extended_Hours_Change_Pct,Close,Score,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Stage_Score,Weekly_Stage,Weekly_Close,Weekly_SMA_30,Weekly_SMA_30_Slope_Pct_10W,EMA_20,EMA_50,EMA_150,EMA_200,EMA_200_Slope_Pct_50D,Return_63D_Pct,Return_126D_Pct,Return_252D_Pct,Benchmark_Return_126D_Pct,RS_126D_Excess_Pct,RS_Ratio,RS_SMA_50,RS_SMA_200,RS_Slope_Pct_50D,Return_5D_Pct,Return_10D_Pct,High_20D,High_55D,High_100D,High_252D,Distance_From_20D_High_Pct,Distance_From_52W_High_Pct,Lower_High_Day,Lower_Low_Day,Close_Below_EMA20,ATR_14,ATR_Pct,Volume,Volume_Avg_50,Accumulation_Days_50,Distribution_Days_50,Net_Accumulation_50,Latest_Distribution_Day,Daily_Change_Pct,Last_3H_Return_Pct,Bearish_1H_Candles_Last3,Last_1H_Bearish
AIRG,6.19,5,Avoid,Avoid,Clean,distribution cluster,REGULAR,6.19,,,,6.190000057,66,22,12,4,6,7,15,Stage 2,6.230000019,5.399833353,20.56787746,6.611151834,6.529909031,5.705068793,5.517032955,18.00194763,16.13508716,56.70886032,45.30515786,7.055537766,49.65332255,0.008375164,0.00928562,0.007208149,-5.825041011,-7.611936814,-10.28985548,7.657999992,7.657999992,7.657999992,7.657999992,-19.16949512,19.16949512,FALSE,FALSE,TRUE,0.332500049,5.371567786,43166,103887.32,10,8,2,FALSE,-0.64205396,0.161816006,1,FALSE
NXDR,2.325,5,Avoid,Avoid,Clean,not outperforming SPY,REGULAR,2.325,,,,2.325000048,66,22,0,12,10,7,15,Stage 2,2.220000029,1.855666657,1.75470605,2.137631103,1.992426478,1.871088739,1.872388538,3.9957583,70.95588406,6.651375068,47.15189776,7.055537766,-0.404162698,0.00314576,0.002653313,0.002714432,42.40349287,7.142855573,10.71429301,2.349999905,2.349999905,2.349999905,3.720000029,-1.063823743,37.4999992,FALSE,FALSE,FALSE,0.11207142,4.82027605,2585753,2950257.06,10,6,4,FALSE,4.729730528,2.19780001,1,FALSE
RDNW,6.93,5,Avoid,Avoid,Clean,distribution cluster,REGULAR,6.93,,,,6.929999828,66,22,12,4,10,3,15,Stage 2,6.989999771,6.538333337,20.27839039,7.229173395,7.250928404,6.415661097,6.070984867,17.00953111,9.478671593,29.77527398,205.2863386,7.055537766,22.71973621,0.009376395,0.010097291,0.00845918,2.637145504,6.697458821,-11.71974634,8.550000191,8.550000191,8.550000191,8.550000191,-18.94737224,18.94737224,TRUE,TRUE,TRUE,0.530357191,7.653062102,67529,115988.58,11,8,3,FALSE,-0.858368308,1.612898151,1,FALSE
TENB,32.715,5,Avoid,Avoid,Clean,weekly Transition,REGULAR,32.715,,,,32.71500015,66,12,12,20,10,7,5,Transition,30.21999931,22.59300016,-4.763309785,27.64540707,25.31272314,24.35992979,25.16656145,-0.493356571,97.79321851,35.35374452,-1.668170416,7.055537766,28.29820675,0.044263891,0.033294582,0.035278612,63.20651196,24.20273334,22.07089957,32.95999908,32.95999908,32.95999908,35.68999863,-0.743322023,8.3356643,FALSE,FALSE,FALSE,1.622142928,4.958407215,2484563,3435771.26,12,7,5,FALSE,8.256124738,0.909938311,0,FALSE
KVHI,9.53,5,Avoid,Avoid,Clean,distribution cluster,REGULAR,9.53,,,,9.529999733,65,30,12,0,5,3,15,Stage 2,9.329999924,8.026000007,18.97420641,9.191063034,9.196668375,8.192013167,7.798213759,17.35637235,10.81394547,40.14705097,79.81130925,7.055537766,33.0915132,0.012894234,0.013120375,0.010657428,-6.535458909,-1.549592639,10.55684292,10,13,13,13,-4.70000267,26.69230975,TRUE,FALSE,FALSE,0.671428612,7.045421103,86310,291254.2,15,12,3,FALSE,2.143620696,1.114053476,1,FALSE
BIO-B,296.49,5,Avoid,Avoid,Clean,weekly Transition | not outperforming SPY,REGULAR,296.49,,,,296.4899902,65,25,0,14,11,10,5,Transition,296.4899902,289.9643336,-1.238979411,297.3234228,290.5936069,286.6902638,286.3448266,0.571952672,10.40402298,-4.573550503,18.55805665,5.964004732,-10.53755524,0.40671339,0.391941949,0.421945038,2.770747732,-2.518495419,-2.518495419,304.1499939,304.1499939,304.1499939,321.1199951,-2.518495419,7.670031533,FALSE,FALSE,TRUE,1.529283796,0.515796096,0,134,4,3,1,FALSE,0,-0.245613008,0,FALSE
ADI,396.52,5,Avoid,Avoid,Clean,distribution cluster,REGULAR,396.52,,,,396.519989,65,22,12,4,5,7,15,Stage 2,386.9100037,344.4360026,19.57853326,411.71748,399.6292026,350.0500683,332.5231492,17.57876504,28.9747547,42.85919891,67.09649554,7.055537766,35.80366115,0.536497551,0.555080532,0.454166123,6.398776108,-10.99039705,-5.091079034,445.9100037,445.9100037,445.9100037,445.9100037,-11.07622934,11.07622934,TRUE,FALSE,TRUE,20.98142351,5.291391127,1784078,4757371.56,16,12,4,FALSE,2.483777949,1.128959209,1,FALSE
LILA,7.6,5,Avoid,Avoid,Clean,weekly Stage 1/3 | distribution cluster,REGULAR,7.6,,,,7.599999905,64,30,12,20,-5,7,0,Stage 1/3,7.130000114,5.413065275,-0.382996494,5.923041018,5.617921344,5.423423951,5.358484955,2.203843942,34.30012722,47.97882217,90.25851089,7.055537766,40.92328441,0.010282915,0.007509085,0.007890492,25.83697959,43.93938641,37.09804365,7.639999866,7.639999866,7.639999866,7.639999866,-0.523559719,0.523559719,FALSE,FALSE,FALSE,0.402881724,5.301075389,593818,786165.46,13,13,0,FALSE,6.591862309,0.996675194,0,FALSE
HVT-A,28.09,5,Avoid,Avoid,Clean,,REGULAR,28.09,,,,28.09000015,63,25,8,0,5,10,15,Stage 2,28.09000015,24.97266649,4.642846889,25.75063895,24.77682384,24.20332174,24.009969,0.84006546,18.42327557,12.00159585,40.66099709,5.964004732,6.037591114,0.038532765,0.032919719,0.034634203,13.13181049,-7.750412319,13.49495011,30.45000076,30.45000076,44.99000168,44.99000168,-7.750412319,37.56390508,FALSE,FALSE,FALSE,1.073571614,3.821899637,0,1182,4,4,0,FALSE,0,4.346211562,0,FALSE
MSGM,4,5,Avoid,Avoid,Clean,,REGULAR,4,,,,4,63,22,8,0,11,7,15,Stage 2,3.829999924,3.82483333,16.44628028,4.081388546,4.16860263,3.838355866,3.660409291,12.45925988,-1.477831124,26.18296226,42.34875735,7.055537766,19.1274245,0.005412061,0.005858595,0.005077622,-10.64879337,0.250626327,-8.256883543,4.389999866,5.558000088,5.558000088,5.558000088,-8.883824108,28.0316672,FALSE,FALSE,TRUE,0.222642779,5.566069484,22008,59892.16,4,3,1,FALSE,4.438644378,1.781168755,0,FALSE
COMP,11.5,5,Avoid,Avoid,Clean,2+ bearish hourly candles,REGULAR,11.5,,,,11.5,63,12,4,10,15,7,15,Stage 2,11.39999962,9.57899998,0.693787289,9.599053938,8.90060641,8.903517638,8.824772201,-1.564640912,62.42938028,7.677899545,82.25039785,7.055537766,0.622361779,0.015559674,0.011567318,0.013406217,49.55616815,17.58691528,33.87659832,11.55000019,11.55000019,13.13000011,13.95499992,-0.432902077,17.59226039,TRUE,FALSE,FALSE,0.612785816,5.328572315,7559364,13861909.28,11,2,9,FALSE,0.877196358,0.524479212,2,FALSE
