Ticker,Signal_Date,Long_Term_Status,Score,Weekly_Stage,Signal_Close,Next_Open,D_Minus_1_Close,D_Plus_1_Close,D_Plus_2_Close,D_Minus_1_Lt_D,D_Lt_D_Plus_1,D_Lt_D_Plus_2,D1_D2_Confirmation,Trend_Score,Relative_Strength_Score,Breakout_Score,Accumulation_Score,Volatility_Score,Weekly_Stage_Score,RS_126D_Excess_Pct,RS_Slope_Pct_50D,Distance_From_52W_High_Pct,Net_Accumulation_50,Distribution_Days_50,ATR_Pct,Forward_21D_Return_Pct,Forward_63D_Return_Pct,Forward_126D_Return_Pct,Forward_252D_Return_Pct
APH,2021-12-31,Momentum Candidate,100,Stage 2,43.72999954223633,43.900001525878906,43.5099983215332,43.25,43.3849983215332,True,False,False,False,30,21,20,15,10,15,15.523733633133997,6.327510946786141,1.1192740507937418,3.0,4.0,1.8890278620700862,-9.88610478755787,-13.929388305059675,-27.16401077430357,-12.984055956306339
APH,2022-12-02,Momentum Candidate,100,Stage 2,40.310001373291016,39.994998931884766,40.435001373291016,39.7400016784668,39.1349983215332,False,False,False,False,25,21,20,10,10,15,14.625745737957917,6.6041923433272975,8.852452766326257,6.0,7.0,1.8986767122926547,-3.0753833606325,-2.3002830191648616,-3.1128865236504044,14.1642732011954
APH,2023-01-04,Momentum Candidate,99,Stage 2,38.76499938964844,38.40999984741211,38.20000076293945,38.349998474121094,39.28499984741211,True,False,True,False,30,25,4,15,10,15,20.143065101405554,5.683852931597633,11.424654563533778,8.0,1.0,2.222182266380207,6.248376817009049,1.6011499112469574,8.851865502175936,22.96276940865041
APH,2023-02-03,Momentum Candidate,98,Stage 2,40.810001373291016,40.494998931884766,41.04499816894531,40.900001525878906,40.67499923706055,False,True,False,False,30,8,20,15,10,15,5.741977086036975,-1.8416353862924728,1.4964975315419202,3.0,4.0,2.419749445692471,-3.5066013246076166,-6.519322037985697,9.741942953153227,26.892208116775418
APH,2023-03-08,Watchlist Candidate,71,Stage 2,39.650001525878906,39.79499816894531,39.07500076293945,38.974998474121094,38.25,True,False,False,False,30,8,8,0,10,15,6.810419673243518,-0.4968647681280025,4.296400594219891,-2.0,6.0,1.73842640410885,-2.4500528181502723,-1.0428373411860759,8.996110053469986,38.72346870500631
APH,2023-04-13,Watchlist Candidate,73,Stage 2,39.32500076293945,39.32500076293945,39.05500030517578,39.06999969482422,39.314998626708984,True,False,False,False,25,4,8,11,10,15,0.6302740820694837,-3.0708621431268623,5.0808581383798685,1.0,5.0,1.604757987170783,-4.513671942637821,7.577875357715769,6.98028958329151,42.89891571415643
APH,2023-08-02,Watchlist Candidate,78,Stage 2,44.189998626708984,43.95500183105469,44.310001373291016,44.2400016784668,43.650001525878906,False,True,False,False,30,4,14,5,10,15,0.0549986926225543,8.43432134205444,2.1045652985926018,0.0,4.0,1.7271189467484005,0.5346303853143386,-8.372199185249086,16.505510069828343,34.52394176978339
APH,2023-09-01,Watchlist Candidate,84,Stage 2,44.28499984741211,44.310001373291016,44.189998626708984,43.98500061035156,43.97999954223633,True,False,False,False,30,4,20,5,10,15,0.25911667432865215,5.722724594014239,1.8941062334892227,-1.0,2.0,1.208083660958561,-7.266985152124283,4.129988624781444,23.719246210333832,38.343483044915196
APH,2023-10-04,Watchlist Candidate,77,Stage 2,41.66999816894531,41.89500045776367,41.09000015258789,41.31999969482422,41.685001373291016,True,False,True,False,22,17,8,5,10,15,0.746357234199424,6.014242435958805,7.687198200314708,-2.0,5.0,1.6910072846609903,-0.8234901943751871,12.93710015449092,40.0883112195622,48.94379005625575
APH,2023-11-09,Watchlist Candidate,79,Stage 2,42.529998779296875,42.83000183105469,42.58000183105469,43.30500030517578,43.185001373291016,False,True,True,False,25,21,8,0,10,15,7.964401300108471,0.15449317866638168,5.782012950026958,0.0,7.0,1.6484167013399096,11.183742461007796,22.612648014344614,48.447347917120155,71.39855363929051
